DeliveryDate,HourEnding,North,South,West,Houston,SystemTotal,DSTFlag    
05/03/2025,23:00,13665.964358508307212,12013.205863720703125,8709.607937341309663,11968.1916890625,46356.96984863282,N
05/03/2025,24:00,12834.479553222659933,11212.008279357911024,8613.574864685059043,11305.87748828125,43965.94018554688,N
05/04/2025,1:00,12307.495330883791924,10529.5154595703125,8592.205323315431826,10802.23383740234375,42231.44995117188,N
05/04/2025,2:00,11704.03940646972929,9853.168549780270173,8569.786754882815537,10327.065225390625,40454.05993652344,N
05/04/2025,3:00,11243.326823486326942,9374.472604382323351,8589.660260900878457,9947.32021845703125,39154.77990722656,N
05/04/2025,4:00,10867.486663305661201,9098.862829052734375,8561.862117016599424,9630.568419921875,38158.78002929687,N
05/04/2025,5:00,10645.180128723147145,8881.977737756343524,8509.546571118165581,9475.23550380859375,37511.93994140625,N
05/04/2025,6:00,10692.354943798826942,8848.244521472172101,8494.584064807128457,9474.4970119140625,37509.68054199219,N
05/04/2025,7:00,10949.103112341308346,9040.158058654786024,8431.44576572265563,9540.27353203125,37960.98046875,N
05/04/2025,8:00,11415.460117614748346,9345.596809387207899,8448.460859326171255,9668.9523064453125,38878.47009277344,N
05/04/2025,9:00,12357.440681909181232,9854.975242346192274,8872.278626721193994,10276.9355759765625,41361.63012695313,N
05/04/2025,10:00,13036.331803649909002,10229.755655834962673,9202.642696179203325,10859.230171484375,43327.96032714845,N
05/04/2025,11:00,13529.450044396979087,10497.315419140625,9279.602513122559663,11257.24152041015625,44563.60949707032,N
05/04/2025,12:00,13841.626836486818431,10799.368107214359601,9269.837922119136968,11593.237324609375,45504.07019042969,N
05/04/2025,13:00,14168.48543688965071,11174.788004614256077,9294.234404687496963,11834.38241259765625,46471.89025878906,N
05/04/2025,14:00,14556.742964233397482,11641.636971350098524,9427.493505236818994,12162.316378515625,47788.18981933594,N
05/04/2025,15:00,15040.533534704593413,12081.037841650385625,9558.615326672362212,12597.84320419921875,49278.02990722656,N
05/04/2025,16:00,15513.916732910154339,12625.387522973639548,9622.677633569341113,13103.458540234375,50865.44042968751,N
05/04/2025,17:00,16066.773083593750134,13171.127424877927952,9665.734347973631914,13554.3642890625,52457.99914550781,N
05/04/2025,18:00,16505.619316809083328,13577.378366870118923,9650.875920812990249,13797.5973427734375,53531.47094726563,N
05/04/2025,19:00,16599.79707601317848,13666.563484704588976,9458.847149829100044,13707.0826947265625,53432.29040527343,N
05/04/2025,20:00,16222.813074279786587,13458.587352685546875,9145.844540124512788,13251.19534052734375,52078.44030761719,N
05/04/2025,21:00,15804.12160306396473,13172.906458679203351,8841.570046069334419,13014.1815552734375,50832.77966308594,N
05/04/2025,22:00,15407.374347399907819,12848.504186975093524,8837.588909179691157,12750.0523318359375,49843.51977539063,N
05/04/2025,23:00,14450.875945739740846,12098.996264465332899,8782.680632470702505,12214.51673740234375,47547.06958007812,N
05/04/2025,24:00,13284.913993505859375,11189.826232373041875,8642.635571484375,11589.21429052734375,44706.59008789062,N
05/05/2025,1:00,12323.495829193119222,10924.104745147705512,8568.842436499025266,11238.24003359375,43054.6830444336,N
05/05/2025,2:00,11642.9616752868630845,10343.6565182800342101,8472.5969761596699554,10767.34836787109375,41226.563537597661,N
05/05/2025,3:00,11208.0132809936523665,9937.4260655151318923,8496.8945739990237412,10483.344180078125,40125.678100585933,N
05/05/2025,4:00,10946.608906549072277,9687.7552560119629774,8449.7186849975587456,10276.63877109375,39360.721618652344,N
05/05/2025,5:00,11014.4404745361328125,9703.5255574462890625,8407.261227001953125,10324.97708671875,39450.204345703125,N
05/05/2025,6:00,11738.7667224853565625,10121.9546152587890625,8406.453725732421875,10731.9972998046875,40999.172363281255,N
05/05/2025,7:00,13038.252503344729424,10933.77677353515625,8458.865787963869326,11300.022171484375,43730.91723632813,N
05/05/2025,8:00,13891.765654052732464,11412.817516284176423,8497.965929272466113,11645.772189453125,45448.3212890625,N
05/05/2025,9:00,14458.428619616698377,11758.397480200197048,8869.414975085453325,12172.16688408203125,47258.40795898438,N
05/05/2025,10:00,14948.292169445802212,12133.542329345708125,9235.451710388184663,12714.422408984375,49031.70861816407,N
05/05/2025,11:00,15276.400939392090913,12502.14084794921875,9406.591386486815337,13163.270634765625,50348.40380859375,N
05/05/2025,12:00,15455.343823767089002,12867.057157739259548,9432.2831115600627,13585.18382685546875,51339.86791992188,N
05/05/2025,13:00,15675.461726672365895,13348.797731994629774,9354.029243188478081,14072.39122978515625,52450.67993164063,N
05/05/2025,14:00,16037.011028222649933,13888.486424914551649,9403.984271081543418,14636.216762109375,53965.69848632812,N
05/05/2025,15:00,16484.640421765142194,14318.679486047364149,9530.749477929691157,15139.2333486328125,55473.30273437501,N
05/05/2025,16:00,16781.530025439448125,14667.740949365234375,9624.76152041015625,15430.91647939453125,56504.94897460937,N
05/05/2025,17:00,17048.089204577639694,15001.244673791504774,9604.171434130863032,15492.8370947265625,57146.34240722657,N
05/05/2025,18:00,17147.123179895014056,15051.123664489745226,9583.969415966793218,15354.4512201171875,57136.66748046874,N
05/05/2025,19:00,17097.228258422851201,15026.086304541015625,9414.082843774411924,14916.81560595703125,56454.21301269531,N
05/05/2025,20:00,16773.43042558594,14750.47009638671875,9018.90335458984375,14460.0465873046875,55002.85046386719,N
05/05/2025,21:00,16714.880934374991911,14604.442748901365452,8697.154547387690137,14305.2378337890625,54321.71606445311,N
05/05/2025,22:00,16322.574828234869712,14262.897930224609375,8772.927009118653413,13860.2273076171875,53218.62707519532,N
05/05/2025,23:00,15309.24280163574696,13403.762296215818577,8630.928494140621963,13256.6992205078125,50600.6328125,N
05/05/2025,24:00,14110.596456127933143,12408.704360192870226,8617.522826550290381,12597.92489228515625,47734.74853515625,N
05/06/2025,1:00,13337.900168621832614,11700.4006763732911024,8541.4577353759777836,12188.7781017578125,45768.536682128914,N
